Animal,MPTP,FName1,FName2,DateCollected,Depth,A_P,M_L,Depth_acx,A_P_acx,M_L_acx,UnitNum1,UnitNum2,Antidrom,Latency,Threshold,LAT2,Thresh2,SENSORY,SENS_DETAIL,ntrials1_1,ntrials1_2,StimData,Microstim_Effect,Microstim_Threshold
L,Pre,l4701,,06-Aug-1992,22.36,-1,-5,21.2246262786015,-7.2,13.9535584667361,1,,STRI,5,NaN,NaN,NaN,NT,"NT",16,17,,NT,nan
L,Pre,l4702,,06-Aug-1992,23.54,-3,-5,20.3902402768014,-9.2,13.1191724649359,1,,NR,NaN,NaN,NaN,NaN,FINGER,"EXT",15,15,,NT,nan
L,Pre,l5001,,10-Aug-1992,23.36,-3,-5,20.517519497415,-9.2,13.2464516855495,1,,STRI,7,140,NaN,NaN,FINGER,"SELECTIVE- Thumb ABD only",15,15,,NT,nan
L,Pre,l5002,,10-Aug-1992,23.17,-4,-3,19.2376562234673,-10.2,14.795015536348,1,,NR,NaN,NaN,NaN,NaN,HAND-CUT,"CUT",15,15,,NT,nan
L,Pre,l5101,,11-Aug-1992,23.21,-4,-3,19.2093719522199,-10.2,14.7667312651006,1,,STRI,6,NaN,NaN,NaN,NT,"NT",12,11,,NT,nan
L,Pre,l5102,,11-Aug-1992,22.4,-2,-6,21.9034487885406,-8.2,13.218167414302,1,,NR,NaN,NaN,NaN,NaN,FINGER,"EXT",15,15,,NT,nan
L,Pre,l5201,,12-Aug-1992,21.71,-2,-6,22.3913524675593,-8.2,13.7060710933208,1,,STRI,4,225,NaN,NaN,WRIST,"SELECTIVE - RADIAL Deviation",15,15,,NT,nan
L,Pre,l5401,,13-Aug-1992,22.55,-2,-6,21.7973827713626,-8.2,13.1121013971241,1,,STRI,5,NaN,NaN,NaN,FINGER-CUT,"CUT",17,18,,NT,nan
L,Pre,l5501,,14-Aug-1992,25.31,-4,-5,19.1386612741012,-10.2,11.8675934622357,1,,NR,NaN,NaN,NaN,NaN,NT,"NT",15,15,,NT,nan
L,Pre,l5502,,14-Aug-1992,24.2,-4,-5,19.9235498012183,-10.2,12.6524819893528,1,,NR,NaN,NaN,NaN,NaN,FOREARM,"SUP",15,15,,NT,nan
L,Pre,l5601,,17-Aug-1992,25.24,-4,-5,19.1881587487843,-10.2,11.9170909369188,1,,STRI,4.5,NaN,NaN,NaN,WRIST,"EXT",15,15,,NT,nan
L,Pre,l5602,,17-Aug-1992,21.02,-2,-5,22.1721493653915,-8.2,14.901081553526,1,,NR,NaN,NaN,NaN,NaN,FINGER-CUT,"CUT",15,15,,NT,nan
L,Pre,l5602,,17-Aug-1992,21.07,-2,-5,22.1367940263322,-8.2,14.8657262144667,2,,NR,NaN,NaN,NaN,NaN,NT,"NT",15,15,,NT,nan
L,Pre,l5603,,17-Aug-1992,21.07,-2,-5,22.1367940263322,-8.2,14.8657262144667,1,,STRI,5,NaN,NaN,NaN,FINGER,"SELECTIVE - EXT",15,14,,NT,nan
L,Pre,l5701,,18-Aug-1992,21.75,-2,-5,21.6559614151253,-8.2,14.3848936032599,1,,NR,NaN,NaN,NaN,NaN,FINGER-CUT,"CUT",11,10,,NT,nan
L,Pre,l6001,,20-Aug-1992,24.18,-4,-2,17.8163715932824,-10.2,14.7879444685362,1,,NR,NaN,NaN,NaN,NaN,WRIST,"FLEX",15,15,,NT,nan
L,Pre,l6001,,20-Aug-1992,22.12,-3,-6,22.1014386872729,-9.2,13.4161573130343,2,,STRI,4,300,NaN,NaN,NR,"FINGER",15,15,,NT,nan
L,Pre,l6002,,20-Aug-1992,22.12,-3,-6,22.1014386872729,-9.2,13.4161573130343,1,,NR,NaN,NaN,NaN,NaN,FINGER,"FLEX",15,15,,NT,nan
L,Pre,l6002,,20-Aug-1992,22.33,-3,-6,21.9529462632237,-9.2,13.2676648889851,2,,STRI,5,450,NaN,NaN,HAND,"CUT",15,15,,NT,nan
L,Pre,l6003,,20-Aug-1992,22.33,-3,-6,21.9529462632237,-9.2,13.2676648889851,1,,NR,NaN,NaN,NaN,NaN,NR,"NR",15,14,,NT,nan
L,Pre,l6003,,20-Aug-1992,22.68,-3,-6,21.7054588898084,-9.2,13.0201775155698,2,,STRI,7,340,NaN,NaN,WRIST,"FLX",15,14,,NT,nan
L,Pre,l6004,,20-Aug-1992,22.68,-3,-6,21.7054588898084,-9.2,13.0201775155698,1,,NR,NaN,NaN,NaN,NaN,WRIST,"EXT",15,15,,NT,nan
L,Pre,l6004,,20-Aug-1992,22.63,-3,-6,21.7408142288677,-9.2,13.0555328546291,2,,NR,NaN,NaN,NaN,NaN,NR,"NR",15,15,,NT,nan
L,Pre,l6101,,21-Aug-1992,22.63,-3,-6,21.7408142288677,-9.2,13.0555328546291,1,,NR,NaN,NaN,NaN,NaN,FINGER,"EXT",15,15,,NT,nan
L,Pre,l6101,,21-Aug-1992,22.92,-3,-6,21.5357532623236,-9.2,12.850471888085,2,,STRI,14,570,NaN,NaN,NR,"NR",15,15,,NT,nan
L,Pre,l6102,,21-Aug-1992,22.92,-3,-6,21.5357532623236,-9.2,12.850471888085,1,,STRI,4,350,NaN,NaN,FINGER,"EXT",15,15,,NT,nan
L,Pre,l6201,,30-Sep-1992,23,-3,-6,21.4791847198287,-9.2,12.7939033455901,1,,PED,1.5,350,NaN,NaN,HAND-CUT,"CUT",15,15,,NT,nan
L,Pre,l6601,,02-Oct-1992,20.68,-2,-6,23.1196724521815,-8.2,14.4343910779429,1,,NR,NaN,NaN,NaN,NaN,FINGER,"EXT",15,15,,NT,nan
L,Pre,l6702,,04-Oct-1992,21.69,-3,-4,20.99128104081,-9.2,15.1344267913176,1,,PED,1,480,NaN,NaN,WRIST,"EXT",15,15,,NT,nan
L,Pre,l6703,,04-Oct-1992,22.06,-3,-4,20.729651531771,-9.2,14.8727972822786,1,,STRI,10,NaN,NaN,NaN,NT,"NT",13,14,,NT,nan
L,Pre,l6801,,05-Oct-1992,23.66,-3,-4,19.5982806818725,-9.2,13.7414264323801,1,,NR,NaN,NaN,NaN,NaN,ELB,"FLEX/EXT",15,15,,NT,nan
L,Pre,l6802,,05-Oct-1992,23.51,-3,-4,19.7043466990505,-9.2,13.8474924495581,1,,PED,1,285,NaN,NaN,FINGER,"EXT",15,15,,NT,nan
L,Pre,l7001,,07-Oct-1992,21.78,-3,-4,20.9276414305032,-9.2,15.0707871810108,1,,PED,1,200,NaN,NaN,WRIST,"W/x",15,15,,NT,nan
L,Pre,l7101,,08-Oct-1992,23.68,-4,-4,19.5841385462487,-10.2,13.7272842967564,1,,NR,NaN,NaN,NaN,NaN,FINGER-CUT,"CUT",15,15,,NT,nan
L,Pre,l7101,,08-Oct-1992,22.59,-4,-4,20.3548849377421,-10.2,14.4980306882497,2,,PED,3,NaN,NaN,NaN,NT,"NT",15,15,,NT,nan
L,Pre,l7102,,08-Oct-1992,22.59,-4,-4,20.3548849377421,-10.2,14.4980306882497,1,,STRI,4,180,NaN,NaN,NT,"NT",15,15,,NT,nan
L,Pre,l7103,,08-Oct-1992,22.75,-4,-4,20.2417478527522,-10.2,14.3848936032599,1,,NR,NaN,NaN,NaN,NaN,WRIST,"EXT",15,15,,NT,nan
L,Pre,l7201,,09-Oct-1992,22.71,-4,-4,20.2700321239997,-10.2,14.4131778745073,1,,STRI,11,450,NaN,NaN,NR,"ACT GRIP",15,15,,NT,nan
L,Pre,l7202,,09-Oct-1992,22.83,-4,-4,20.1851793102573,-10.2,14.3283250607649,1,,NR,NaN,NaN,NaN,NaN,NR,"NR",15,15,,NT,nan
L,Pre,l7301,,11-Oct-1992,22.66,-4,-4,20.305387463059,-10.2,14.4485332135666,1,,PED,NaN,120,NaN,NaN,NR,"NR",15,15,,NT,nan
