Animal,MPTP,FName1,FName2,DateCollected,Depth,A_P,M_L,Depth_acx,A_P_acx,M_L_acx,UnitNum1,UnitNum2,Antidrom,Latency,Threshold,LAT2,Thresh2,SENSORY,SENS_DETAIL,ntrials1_1,ntrials1_2,emg_collected,lfp_collected,ntrials2_1,ntrials2_2,StimData,emg_muscle_1,emg_muscle_2,emg_muscle_3,emg_muscle_4,emg_muscle_5,emg_muscle_6,Microtim_Effect,Microstim_Threshold
V,Pre,v0502,,06-Apr-1999,22.13,4,-4,15.0239679239859,-4.2,15.0233685366163,1,,PED,1.4,53,NaN,NaN,wrist / hand,"ext / thumb abd",10,10,6,0,0,0,Ped,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,wrist ext.,30
V,Pre,v0601,,07-Apr-1999,19.5,2,-6,18.3277591566229,-6.2,15.0665367095093,1,,STRI,3.15,830,NaN,NaN,hand,"active grip",10,10,6,0,0,0,Str,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,wrist flex.,30
V,Pre,v1001,,09-Apr-1999,19,4,-6,18.7217645334262,-4.2,15.3743674471722,1,,NR,NaN,NaN,NaN,NaN,hand,"finger flex",10,10,6,0,0,0,,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nt,nan
V,Pre,v1001,,09-Apr-1999,19,4,-6,18.7217645334262,-4.2,15.3743674471722,2,,STRI,4.45,600,NaN,NaN,NR,"NR",10,10,6,0,0,0,Str,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nt,nan
V,Pre,v1002,,09-Apr-1999,19.8,4,-6,18.0913559305409,-4.2,14.8818382669116,1,,PED,1.4,610,NaN,NaN,hand,"palm probe",10,10,6,0,0,0,Ped,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nt,nan
V,Pre,v1003,,09-Apr-1999,20,4,-6,17.9337537798195,-4.2,14.7587059718465,1,,STRI,4.85,660,NaN,NaN,NR,"NR",10,10,6,0,0,0,Str,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,finger flex.,30
V,Pre,v1004,,09-Apr-1999,20.47,4,-6,17.5633887256243,-4.2,14.4693450784434,1,,STRI,4,NaN,NaN,NaN,NR,"NR",8,9,6,0,0,0,Str,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nt,nan
V,Pre,v1005,,12-Apr-1999,17.88,4,-6,19.6043365774658,-4.2,16.0639082995369,1,,NR,NaN,NaN,NaN,NaN,hand,"thumb ext",10,10,6,0,0,0,,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nt,nan
V,Pre,v1006,,12-Apr-1999,18.77,4,-6,18.9030070067558,-4.2,15.5159695864971,1,,PED,2.1,350,NaN,NaN,wrist,"radial deviation",10,10,6,0,0,0,Ped,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,finger flex.,30
V,Pre,v1101,,13-Apr-1999,17.9,6,-4,18.3572534117423,-2.2,17.6276165772438,1,,PED,4.1,300,NaN,NaN,NT,"NT",6,6,6,0,0,0,Ped,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nt,nan
V,Pre,v1102,,13-Apr-1999,17.41,6,-4,18.7433786810096,-2.2,17.9292907001534,1,,NR,NaN,NaN,NaN,NaN,NR,"NR",6,5,6,0,0,0,,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nr,nan
V,Pre,v1102,,13-Apr-1999,17.41,6,-4,18.7433786810096,-2.2,17.9292907001534,2,,NR,NaN,NaN,NaN,NaN,hand,"finger ext",6,5,6,0,0,0,,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nr,nan
V,Pre,v1103,,13-Apr-1999,18,6,-4,18.2784523363816,-2.2,17.5660504297113,1,,NR,NaN,NaN,NaN,NaN,NR,"",9,9,6,0,0,0,,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nt,nan
V,Pre,v1301,,15-Apr-1999,18.2,4,-5,18.736511660986,-4.2,16.6549073810394,1,,STRI,3.9,NaN,NaN,NaN,NR,"NR",6,6,6,0,0,0,Str,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,finger ext.,nt
V,Pre,v1302,,15-Apr-1999,18.77,4,-5,18.2873455314301,-4.2,16.3039803401038,1,,PED,1.75,80,NaN,NaN,NR,"NR",10,10,6,0,0,0,Ped,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nt,nan
V,Pre,v1303,,15-Apr-1999,18.25,4,-5,18.6971111233056,-4.2,16.6241243072731,1,,PED,1.4,NaN,NaN,NaN,hand,"finger pad sensitive",10,10,6,0,0,0,Ped,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nt,nan
V,Pre,v1303,,15-Apr-1999,18.25,4,-5,18.6971111233056,-4.2,16.6241243072731,2,,NR,NaN,NaN,NaN,NaN,NR,"NR",10,10,6,0,0,0,,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nt,nan
V,Pre,v1304,,15-Apr-1999,19.35,4,-5,17.8302992943382,-4.2,15.9468966844149,1,,PED,2.75,1000,NaN,NaN,hand,"finger ext",9,9,6,0,0,0,Ped,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nt,nan
V,Pre,v1305,,15-Apr-1999,18.43,4,-5,18.5552691876564,-4.2,16.5133052417145,1,,PED,1.35,400,NaN,NaN,NR,"NR",7,8,6,0,0,0,Ped,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nt,nan
V,Pre,v1401,,11-May-1999,22.99,2,-6,15.5776016265354,-6.2,12.9178781606228,1,,STRI,8.4,NaN,NaN,NaN,hand,"active grip",10,10,6,0,0,0,Str,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nt,nan
V,Pre,v1402,,11-May-1999,23.7,2,-6,15.0181139914746,-6.2,12.4807585131416,1,,STRI,3.3,590,NaN,NaN,hand,"palm squeeze at base of little finger",10,10,6,0,0,0,Str,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nt,nan
V,Pre,v1403,,12-May-1999,23.27,2,-6,15.3569586155255,-6.2,12.7454929475316,1,,PED,1.9,75,NaN,NaN,NT,"NT",8,8,6,0,0,0,Ped,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,wrist ext.,30
V,Pre,v1501,v1501b,13-May-1999,19.7,4,-4,16.9388340552502,-4.2,16.5194259216576,1,1,STRI,6.35,960,NaN,NaN,NR,"NR",10,10,6,0,10,10,Str,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nt,nan
V,Pre,v1601,v1601b,17-May-1999,17.8,6,-4,18.436054487103,-2.2,17.6891827247764,1,1,PED,2.85,NaN,NaN,NaN,NR,"NR",10,10,6,0,10,10,Ped,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,wrist ext.,30
V,Pre,v1602,v1602b,17-May-1999,18,6,-4,18.2784523363816,-2.2,17.5660504297113,1,1,PED,3.15,320,NaN,NaN,NT,"NT",10,10,6,0,5,5,Ped,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nt,nan
V,Pre,v1702,v1702b,18-May-1999,17.5,2,-4,18.672457713185,-6.2,17.8738811673741,1,1,PED,3,NaN,NaN,NaN,hand,"palm surf, last 3 fingers",10,10,6,0,10,10,Ped,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nt,nan
V,Pre,v1703,v1703b,18-May-1999,18.2,2,-4,18.1208501856603,-6.2,17.4429181346461,1,1,STRI,4.8,750,NaN,NaN,hand,"selective finger flex",10,10,6,0,10,10,Str,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nt,nan
V,Pre,v1801,,20-May-1999,17.9,0,-4,18.3572534117423,-8.2,17.6276165772438,1,,NR,NaN,NaN,NaN,NaN,NT,"NT",6,6,6,0,0,0,,triceps lat.,brachioradialis,triceps long.,triceps long.,trapezius,deltoid post.,nt,nan
