Animal,MPTP,FName1,FName2,DateCollected,Depth,A_P,M_L,UnitNum1,UnitNum2,Antidrom,Latency,Threshold,LAT2,Thresh2,SENSORY,SENS_DETAIL,ntrials1_1,ntrials1_2,emg_collected,lfp_collected,ntrials2_1,ntrials2_2,StimData
V,Pre,v0502,,06-Apr-1999,22.13,4,-4,1,,PED,1.4,53,NaN,NaN,wrist / hand,"ext / thumb abd",10,10,1,0,0,0,Ped
V,Pre,v0601,,07-Apr-1999,19.5,2,-6,1,,STRI,3.15,830,NaN,NaN,hand,"active grip",10,10,1,0,0,0,Str
V,Pre,v1001,,09-Apr-1999,17,4,-6,1,,NR,NaN,NaN,NaN,NaN,hand,"finger flex",10,10,1,0,0,0,
V,Pre,v1001,,09-Apr-1999,17,4,-6,2,,STRI,4.45,600,NaN,NaN,NR,"NR",10,10,1,0,0,0,Str
V,Pre,v1002,,09-Apr-1999,17.8,4,-6,1,,PED,1.4,610,NaN,NaN,hand,"palm probe",10,10,1,0,0,0,Ped
V,Pre,v1003,,09-Apr-1999,18,4,-6,1,,STRI,4.85,660,NaN,NaN,NR,"NR",10,10,1,0,0,0,Str
V,Pre,v1004,,09-Apr-1999,18.47,4,-6,1,,STRI,4,NaN,NaN,NaN,NR,"NR",8,9,1,0,0,0,Str
V,Pre,v1005,,12-Apr-1999,15.88,4,-6,1,,NR,NaN,NaN,NaN,NaN,hand,"thumb ext",10,10,1,0,0,0,
V,Pre,v1006,,12-Apr-1999,16.77,4,-6,1,,PED,2.1,350,NaN,NaN,wrist,"radial deviation",10,10,1,0,0,0,Ped
V,Pre,v1101,,13-Apr-1999,17.9,6,-4,1,,PED,4.1,300,NaN,NaN,NT,"NT",6,6,1,0,0,0,Ped
V,Pre,v1102,,13-Apr-1999,17.41,6,-4,1,,NR,NaN,NaN,NaN,NaN,NR,"NR",6,5,1,0,0,0,
V,Pre,v1102,,13-Apr-1999,17.41,6,-4,2,,NR,NaN,NaN,NaN,NaN,hand,"finger ext",6,5,1,0,0,0,
V,Pre,v1103,,13-Apr-1999,18,6,-4,1,,NR,NaN,NaN,NaN,NaN,NR,"",9,9,1,0,0,0,
V,Pre,v1301,,15-Apr-1999,18.2,4,-5,1,,STRI,3.9,NaN,NaN,NaN,NR,"NR",6,6,1,0,0,0,Str
V,Pre,v1302,,15-Apr-1999,18.77,4,-5,1,,PED,1.75,80,NaN,NaN,NR,"NR",10,10,1,0,0,0,Ped
V,Pre,v1303,,15-Apr-1999,18.25,4,-5,1,,PED,1.4,NaN,NaN,NaN,hand,"finger pad sensitive",10,10,1,0,0,0,Ped
V,Pre,v1303,,15-Apr-1999,18.25,4,-5,2,,NR,NaN,NaN,NaN,NaN,NR,"NR",10,10,1,0,0,0,
V,Pre,v1304,,15-Apr-1999,19.35,4,-5,1,,PED,2.75,1000,NaN,NaN,hand,"finger ext",9,9,1,0,0,0,Ped
V,Pre,v1305,,15-Apr-1999,18.43,4,-5,1,,PED,1.35,400,NaN,NaN,NR,"NR",7,8,1,0,0,0,Ped
V,Pre,v1401,,11-May-1999,22.99,2,-6,1,,STRI,8.4,NaN,NaN,NaN,hand,"active grip",10,10,1,0,0,0,Str
V,Pre,v1402,,11-May-1999,23.7,2,-6,1,,STRI,3.3,590,NaN,NaN,hand,"palm squeeze at base of little finger",10,10,1,0,0,0,Str
V,Pre,v1403,,12-May-1999,23.27,2,-6,1,,PED,1.9,75,NaN,NaN,NT,"NT",8,8,1,0,0,0,Ped
V,Pre,v1501,v1501b,13-May-1999,19.7,4,-4,1,1,STRI,6.35,960,NaN,NaN,NR,"NR",10,10,1,0,10,10,Str
