d99_r,d99_a,d99_s,nmt_r,nmt_a,nmt_s,mebrains_r,mebrains_a,mebrains_s,d99_r_c,d99_a_c,d99_s_c,nmt_r_c,nmt_a_c,nmt_s_c,mebrains_r_c,mebrains_a_c,mebrains_s_c
-15.023369,-4.2,15.023968,-14.730021,12.363543,28.953793,-15.401585,-6.5691504,14.130144,-15.0,-4.25,15.0,-14.706291,12.318533,28.920794,-15.375494,-6.611354,14.098135
-15.066537,-6.2,18.327759,-14.855764,9.8285475,31.617167,-15.205385,-9.093992,17.113264,-15.0,-6.25,18.25,-14.7935,9.7795925,31.525959,-15.142096,-9.141209,17.021194
-15.374367,-4.2,18.721765,-15.240831,11.722714,32.464874,-15.634267,-7.149925,17.898523,-15.25,-4.25,18.75,-15.126999,11.658193,32.482426,-15.510544,-7.203229,17.923914
-14.881838,-4.2,18.091356,-14.809538,11.738683,31.874556,-15.189202,-7.075307,17.27971,-15.0,-4.25,18.0,-14.90998,11.718344,31.775742,-15.305998,-7.111644,17.179184
-14.758706,-4.2,17.933754,-14.698028,11.744619,31.724403,-15.073611,-7.0552874,17.11855,-14.75,-4.25,18.0,-14.690584,11.682645,31.77446,-15.061633,-7.1175,17.176943
-14.469345,-4.2,17.563389,-14.422566,11.772922,31.367968,-14.794713,-7.002079,16.733637,-14.5,-4.25,17.5,-14.441994,11.741265,31.294615,-14.822984,-7.042409,16.6593
-16.063908,-4.2,19.604337,-15.847581,11.687909,33.290897,-16.210976,-7.2500324,18.680239,-16.0,-4.25,19.5,-15.790169,11.646767,33.183052,-16.160133,-7.2875743,18.58423
-15.51597,-4.2,18.903007,-15.362711,11.719821,32.634953,-15.757413,-7.1717434,18.066807,-15.5,-4.25,19.0,-15.343433,11.661395,32.717163,-15.732598,-7.232951,18.15307
-17.627617,-2.2,18.357253,-17.333752,13.82205,32.478905,-17.838839,-5.190622,17.665634,-17.75,-3.0,18.25,-17.422413,13.062778,32.188408,-17.949709,-5.9635377,17.42144
-17.929291,-2.2,18.743379,-17.614708,13.768417,32.818672,-18.071941,-5.258511,17.959019,-18.0,-3.0,18.5,-17.660059,13.025484,32.406567,-18.154514,-6.010818,17.605795
-17.56605,-2.2,18.278452,-17.276144,13.832877,32.409042,-17.789639,-5.1763263,17.603231,-17.5,-3.0,18.25,-17.193174,13.06172,32.20324,-17.721218,-5.95327,17.45846
-16.654907,-4.2,18.736512,-16.395454,11.813352,32.429787,-16.850704,-7.1673155,17.81387,-16.75,-4.25,18.75,-16.478193,11.769526,32.425205,-16.936594,-7.2196074,17.808504
-16.30398,-4.2,18.287346,-16.072573,11.855694,32.025204,-16.548496,-7.097392,17.41794,-16.25,-4.25,18.25,-16.022173,11.808733,31.98091,-16.497103,-7.1408734,17.37764
-16.624124,-4.2,18.697111,-16.3669,11.817594,32.394627,-16.824312,-7.160948,17.779596,-16.5,-4.25,18.75,-16.255344,11.755182,32.44056,-16.701292,-7.215523,17.833456
-15.946897,-4.2,17.830299,-15.740703,11.901142,31.61323,-16.22815,-7.024167,16.993519,-16.0,-4.25,17.75,-15.78286,11.871597,31.52549,-16.278172,-7.059308,16.901703
-16.513305,-4.2,18.555269,-16.264618,11.83236,32.26793,-16.72911,-7.1383953,17.655466,-16.5,-4.25,18.5,-16.249273,11.792278,32.20536,-16.717417,-7.1790533,17.595327
-12.917878,-6.2,15.577602,-12.598583,10.223737,28.922049,-13.011647,-8.658822,14.245822,-13.0,-6.25,15.5,-12.661028,10.209007,28.839851,-13.080638,-8.682482,14.1571865
-12.480759,-6.2,15.018114,-12.125867,10.362055,28.417358,-12.510003,-8.508311,13.67886,-12.5,-6.25,15.0,-12.139037,10.319794,28.388813,-12.52123,-8.554981,13.6488495
-12.745493,-6.2,15.356959,-12.409572,10.280466,28.721338,-12.810276,-8.600919,14.015562,-12.75,-6.25,15.25,-12.396617,10.267876,28.612785,-12.796008,-8.620321,13.894225
-16.519426,-4.2,16.938834,-16.197432,12.113534,30.767778,-16.795279,-6.86905,16.069265,-16.5,-4.25,17.0,-16.181988,12.054272,30.814608,-16.772242,-6.927294,16.123173
-17.689183,-2.2,18.436054,-17.391268,13.811183,32.54859,-17.887857,-5.2049274,17.727741,-17.75,-3.0,18.5,-17.430658,13.024765,32.422012,-17.928247,-6.0006466,17.646833
-17.873881,-6.2,18.672458,-17.33245,10.104336,31.87038,-17.804283,-9.04331,17.189384,-17.25,-5.75,18.5,-16.806229,10.492588,31.837591,-17.28874,-8.601318,17.224417
-17.442918,-6.2,18.12085,-16.941391,10.17364,31.393103,-17.456648,-8.960861,16.751987,-17.0,-6.0,18.0,-16.561697,10.336706,31.344164,-17.07027,-8.763163,16.727861
-17.627617,-8.2,18.357253,-17.031742,8.191179,31.075462,-17.442572,-10.981924,16.451874,-16.5,-6.25,18.25,-16.10934,10.013536,31.531155,-16.564468,-9.063347,16.960743
-17.449075,-8.2,18.12873,-16.869843,8.220229,30.877487,-17.297606,-10.964302,16.255718,-16.5,-6.25,18.25,-16.10934,10.013536,31.531155,-16.564468,-9.063347,16.960743
-17.215123,-8.2,17.829286,-16.656916,8.261169,30.619297,-17.106323,-10.94527,15.988857,-16.5,-6.25,17.75,-16.099466,10.105532,31.074501,-16.595686,-8.992905,16.461243
-17.25822,-8.2,17.884447,-16.696276,8.2535,30.66706,-17.142315,-10.949332,16.038492,-16.5,-6.25,18.0,-16.104403,10.059534,31.302828,-16.580359,-9.028667,16.71071
-16.359282,-6.2,13.485321,-15.959762,10.887356,27.363352,-16.618393,-8.187393,12.367167,-16.25,-5.5,13.75,-15.9522915,11.332336,27.652546,-16.619495,-7.634164,12.705934
-19.893179,-7.2,18.008503,-19.348331,9.182151,31.014193,-19.842794,-9.994069,16.108109,-18.0,-5.25,17.75,-17.477165,11.125635,31.226814,-18.081823,-7.9831495,16.545376
-19.8193,-7.2,17.913941,-19.272963,9.203424,30.934961,-19.775898,-9.973957,16.033323,-18.0,-5.25,17.75,-17.477165,11.125635,31.226814,-18.081823,-7.9831495,16.545376
-15.645151,-5.2,14.195544,-15.382666,11.511779,28.04549,-16.02443,-7.4058886,13.178893,-15.75,-5.25,14.25,-15.477219,11.470598,28.093334,-16.118944,-7.4565163,13.223829
-17.498256,-3.2,14.943141,-17.22594,13.120155,29.037006,-17.9092,-5.7480145,14.147591,-17.5,-3.25,15.0,-17.219769,13.078196,29.082195,-17.903814,-5.7969923,14.196833
-17.849183,-3.2,15.392307,-17.50542,13.127116,29.455976,-18.20035,-5.7796683,14.592481,-17.75,-3.25,15.5,-17.400188,13.087347,29.550835,-18.094936,-5.8305216,14.698684
-18.797302,-2.2,16.605843,-18.38368,13.963988,30.743538,-19.05664,-5.0278535,15.88734,-18.75,-2.5,16.5,-18.322165,13.6980095,30.583508,-19.009134,-5.288312,15.741745
-18.698796,-2.2,16.479762,-18.28907,13.974394,30.628077,-18.973646,-5.007371,15.778807,-18.75,-2.25,16.25,-18.337626,13.934973,30.395977,-19.035767,-5.0294876,15.544807
-18.126231,-3.2,15.746912,-17.734377,13.12237,29.780977,-18.438923,-5.8169894,14.93853,-18.25,-3.25,15.75,-17.848967,13.07445,29.771763,-18.553692,-5.865329,14.926308
-17.984628,-3.2,15.565669,-17.618021,13.124468,29.615705,-18.31603,-5.7964773,14.762375,-18.0,-3.25,15.5,-17.637854,13.07848,29.545536,-18.332436,-5.8358164,14.686376
-18.280146,-3.2,15.943914,-17.867447,13.112884,29.959038,-18.572168,-5.840243,15.127731,-18.25,-3.25,16.0,-17.834259,13.06805,30.003635,-18.537527,-5.889847,15.178516
-18.083134,-3.2,15.691751,-17.698948,13.123028,29.730846,-18.401535,-5.810688,14.885087,-18.0,-3.25,15.75,-17.614609,13.081495,29.779194,-18.316355,-5.8593836,14.940546
-17.923062,-3.2,15.486868,-17.56676,13.125744,29.543303,-18.262785,-5.7880034,14.68529,-18.0,-3.25,15.5,-17.637854,13.07848,29.545536,-18.332436,-5.8358164,14.686376
-17.332027,-3.2,14.730378,-17.09519,13.113593,28.835608,-17.77139,-5.734664,13.934441,-17.25,-3.25,14.75,-17.013582,13.072666,28.844786,-17.690117,-5.7808104,13.947472
-18.680326,-1.2,16.456121,-18.316513,14.901676,30.817997,-18.973495,-4.0633326,15.936214,-18.75,-1.75,15.75,-18.376709,14.394146,30.021393,-19.081541,-4.511101,15.15484
-18.772675,-1.2,16.574323,-18.409752,14.893468,30.930813,-19.05077,-4.0820284,16.03717,-18.75,-2.0,16.0,-18.358961,14.163147,30.208456,-19.059492,-4.7689304,15.351047
-18.157014,-1.2,15.786312,-17.792841,14.944742,30.18215,-18.521925,-3.9633462,15.340223,-18.0,-1.25,15.5,-17.647358,14.90711,29.904215,-18.384699,-3.9772975,15.056468
-17.972315,-1.2,15.549909,-17.617712,14.955678,29.961391,-18.355219,-3.9321978,15.1169405,-18.0,-1.25,15.5,-17.647358,14.90711,29.904215,-18.384699,-3.9772975,15.056468
-18.341712,-1.2,16.022715,-17.976587,14.9299965,30.406038,-18.685186,-3.996961,15.556988,-18.0,-1.5,15.75,-17.630383,14.680397,30.095367,-18.371916,-4.23678,15.256901
-17.947689,-1.2,15.518389,-17.595123,14.95701,29.93213,-18.332895,-3.9282117,15.086876,-18.0,-1.25,15.5,-17.647358,14.90711,29.904215,-18.384699,-3.9772975,15.056468
-18.033881,-1.2,15.62871,-17.675062,14.952311,30.034714,-18.410957,-3.942318,15.191835,-18.0,-1.25,15.5,-17.647358,14.90711,29.904215,-18.384699,-3.9772975,15.056468
-18.815771,-1.2,16.629484,-18.45301,14.889814,30.983406,-19.08667,-4.0908456,16.083977,-18.75,-2.0,16.0,-18.358961,14.163147,30.208456,-19.059492,-4.7689304,15.351047
-18.649543,-1.2,16.416721,-18.285267,14.904529,30.780357,-18.947626,-4.0571733,15.902357,-18.75,-1.75,15.75,-18.376709,14.394146,30.021393,-19.081541,-4.511101,15.15484
-18.464844,-1.2,16.180318,-18.098373,14.921051,30.555109,-18.791164,-4.020753,15.696868,-18.5,-1.75,15.75,-18.127954,14.413437,30.031977,-18.845629,-4.498216,15.176322
-18.587977,-1.2,16.33792,-18.222532,14.910403,30.705025,-18.89574,-4.0449314,15.834346,-18.5,-1.75,15.75,-18.127954,14.413437,30.031977,-18.845629,-4.498216,15.176322
-18.52641,-1.2,16.259119,-18.159468,14.916509,30.629623,-18.843653,-4.03279,15.7659445,-18.5,-1.75,15.75,-18.127954,14.413437,30.031977,-18.845629,-4.498216,15.176322
-17.572135,-4.2,15.037702,-17.243626,12.261333,28.97251,-17.914188,-6.6475058,14.0823555,-17.5,-4.25,15.0,-17.177431,12.220087,28.930737,-17.845953,-6.688646,14.039272
-17.295088,-4.2,14.683097,-17.020126,12.257512,28.642838,-17.687267,-6.6257887,13.729029,-17.25,-4.25,14.75,-16.96793,12.2185955,28.695873,-17.63375,-6.672655,13.789958
-16.740992,-4.2,13.973887,-16.564093,12.251729,27.989553,-17.238432,-6.5837727,13.048401,-16.75,-4.25,14.0,-16.56537,12.2130375,28.007282,-17.241827,-6.629999,13.066061
-16.611703,-4.2,13.808405,-16.455763,12.25329,27.837402,-17.126333,-6.5668025,12.894921,-16.5,-4.25,13.75,-16.35095,12.216026,27.77465,-17.019896,-6.6026936,12.837022
-16.59939,-4.2,13.792645,-16.44552,12.253413,27.822851,-17.115705,-6.5651927,12.880345,-16.5,-4.25,13.75,-16.35095,12.216026,27.77465,-17.019896,-6.6026936,12.837022
-16.125331,-4.2,13.185877,-16.020073,12.317575,27.290468,-16.698574,-6.492304,12.335831,-16.25,-4.25,13.25,-16.130772,12.264502,27.340487,-16.812128,-6.548273,12.381209
-16.433161,-4.2,13.579882,-16.297602,12.269539,27.632664,-16.969074,-6.540362,12.687373,-16.5,-4.25,13.5,-16.357687,12.235363,27.560638,-17.034885,-6.5792117,12.602129
-19.449903,-2.2,17.441135,-19.016314,13.880601,31.511745,-19.582949,-5.1690493,16.562351,-19.25,-2.75,16.75,-18.77456,13.442659,30.743782,-19.445623,-5.5740213,15.874107
-19.265204,-2.2,17.204732,-18.837212,13.907533,31.295355,-19.437794,-5.128939,16.378,-19.25,-2.75,16.75,-18.77456,13.442659,30.743782,-19.445623,-5.5740213,15.874107
-19.00047,-2.2,16.865887,-18.580814,13.940801,30.98289,-19.225588,-5.0710473,16.106468,-19.0,-2.5,16.5,-18.561317,13.685194,30.57003,-19.241663,-5.3008375,15.712777
-19.388337,-2.2,17.362334,-18.95668,13.889853,31.439816,-19.534567,-5.155733,16.501,-19.25,-2.75,16.75,-18.77456,13.442659,30.743782,-19.445623,-5.5740213,15.874107
-19.32677,-2.2,17.283533,-18.896786,13.899329,31.3678,-19.48617,-5.14234,16.439558,-19.25,-2.75,16.75,-18.77456,13.442659,30.743782,-19.445623,-5.5740213,15.874107
-19.01894,-2.2,16.889527,-18.59881,13.938333,31.004677,-19.240652,-5.075027,16.125896,-19.0,-2.5,16.5,-18.561317,13.685194,30.57003,-19.241663,-5.3008375,15.712777
